"","date","team1","team1_score","team2","team2_score","map","event","winner","win_margin"
"1452","15/5/19","Spirit","16","Chaos","19","Vertigo","ESEA MDL Season 31 Europe","Chaos",3
"1453","15/5/19","Complexity","8","Renegades","16","Mirage","ESL Pro League Season 9 Americas","Complexity",8
"1454","15/5/19","Renegades","12","Complexity","16","Dust2","ESL Pro League Season 9 Americas","Complexity",4
"1455","15/5/19","Renegades","16","Complexity","4","Nuke","ESL Pro League Season 9 Americas","Complexity",12
"1456","14/5/19","MIBR","16","eUnited","14","Inferno","ECS Season 7 North America Week 4","MIBR",2
"1457","14/5/19","eUnited","16","MIBR","5","Nuke","ECS Season 7 North America Week 4","MIBR",11
"1458","14/5/19","MIBR","16","eUnited","6","Mirage","ECS Season 7 North America Week 4","eUnited",10
"1459","14/5/19","Aristocracy","13","HellRaisers","16","Overpass","ESL Pro League Season 9 Europe","HellRaisers",3
"1460","14/5/19","HellRaisers","16","Aristocracy","10","Vertigo","ESL Pro League Season 9 Europe","HellRaisers",6
"1461","14/5/19","AVANGAR","16","Virtus.pro","13","Vertigo","ECS Season 7 Europe Week 4","AVANGAR",3
"1462","14/5/19","AVANGAR","16","Virtus.pro","9","Inferno","ECS Season 7 Europe Week 4","Virtus.pro",7
"1463","14/5/19","Chaos","11","Vitality","16","Dust2","ESEA MDL Season 31 Europe","Vitality",5
"1464","14/5/19","fnatic","7","OpTic","16","Dust2","ESL Pro League Season 9 Europe","fnatic",9
"1465","14/5/19","fnatic","19","OpTic","16","Nuke","ESL Pro League Season 9 Europe","fnatic",3
"1466","14/5/19","OpTic","16","fnatic","13","Inferno","ESL Pro League Season 9 Europe","OpTic",3
"1467","14/5/19","pro100","20","Spirit","22","Train","ESEA MDL Season 31 Europe","Spirit",2
"1468","14/5/19","Movistar Riders","16","Epsilon","14","Inferno","ESEA MDL Season 31 Europe","Movistar Riders",2
"1469","14/5/19","Winstrike","7","x-kom","16","Nuke","UCC Summer Smash","Winstrike",9
