Date,Team1,Team2,Map,Event
26/12/19,Ambush (10),SKADE (16),"d2
                      Dust2",EGB Siberian Frost
26/12/19,Ambush (16),SKADE (12),"trn
                      Train",EGB Siberian Frost
25/12/19,Brute (8),Rocketlauncher$ (16),"inf
                      Inferno",GG.BET Winter Cup
25/12/19,Brute (11),Rocketlauncher$ (16),"d2
                      Dust2",GG.BET Winter Cup
25/12/19,Rocketlauncher$ (16),Brute (19),"mrg
                      Mirage",GG.BET Winter Cup
25/12/19,FATE (16),EXTREMUM (4),"ovp
                      Overpass",GG.BET Winter Cup
25/12/19,EXTREMUM (7),FATE (16),"d2
                      Dust2",GG.BET Winter Cup
25/12/19,FATE (12),EXTREMUM (16),"inf
                      Inferno",GG.BET Winter Cup
25/12/19,NAVI Junior (16),DreamEaters (8),"ovp
                      Overpass",LBET Invitational 2
25/12/19,DreamEaters (12),NAVI Junior (16),"vtg
                      Vertigo",LBET Invitational 2
25/12/19,Juggernauts (16),Invictus (11),"trn
                      Train",LBET Invitational 2
25/12/19,Invictus (16),Juggernauts (12),"nuke
                      Nuke",LBET Invitational 2
25/12/19,Juggernauts (16),Invictus (8),"mrg
                      Mirage",LBET Invitational 2
24/12/19,FATE (16),Brute (12),"vtg
                      Vertigo",GG.BET Winter Cup
24/12/19,Brute (11),FATE (16),"d2
                      Dust2",GG.BET Winter Cup
24/12/19,EXTREMUM (12),Project X (16),"d2
                      Dust2",EGB Siberian Frost
24/12/19,Project X (16),EXTREMUM (13),"inf
                      Inferno",EGB Siberian Frost
24/12/19,EXTREMUM (16),Rocketlauncher$ (9),"d2
                      Dust2",GG.BET Winter Cup
24/12/19,EXTREMUM (16),Rocketlauncher$ (12),"mrg
                      Mirage",GG.BET Winter Cup
24/12/19,EXTREMUM (9),Rocketlauncher$ (16),"ovp
                      Overpass",GG.BET Winter Cup
24/12/19,EXTREMUM (16),Espada (14),"d2
                      Dust2",EGB Siberian Frost
24/12/19,Espada (9),EXTREMUM (16),"mrg
                      Mirage",EGB Siberian Frost
24/12/19,DreamEaters (6),Juggernauts (16),"nuke
                      Nuke",LBET Invitational 2
24/12/19,Juggernauts (16),DreamEaters (11),"d2
                      Dust2",LBET Invitational 2
24/12/19,Project X (8),SG.pro (16),"ovp
                      Overpass",EGB Siberian Frost
24/12/19,Project X (2),SG.pro (16),"d2
                      Dust2",EGB Siberian Frost
23/12/19,SKADE (16),DreamEaters (6),"ovp
                      Overpass",EGB Siberian Frost
23/12/19,DreamEaters (7),SKADE (16),"inf
                      Inferno",EGB Siberian Frost
23/12/19,Ambush (16),PACT (14),"mrg
                      Mirage",EGB Siberian Frost
23/12/19,Ambush (16),PACT (13),"inf
                      Inferno",EGB Siberian Frost
23/12/19,PACT (16),Ambush (7),"vtg
                      Vertigo",EGB Siberian Frost
23/12/19,NAVI Junior (19),Invictus (22),"trn
                      Train",LBET Invitational 2
23/12/19,NAVI Junior (16),Invictus (3),"vtg
                      Vertigo",LBET Invitational 2
23/12/19,NAVI Junior (8),Invictus (16),"mrg
                      Mirage",LBET Invitational 2
23/12/19,Espada (14),Project X (16),"nuke
                      Nuke",EGB Siberian Frost
23/12/19,Espada (20),Project X (22),"mrg
                      Mirage",EGB Siberian Frost
23/12/19,Espada (16),Project X (8),"d2
                      Dust2",EGB Siberian Frost
23/12/19,MiTH.Maple (10),Nemiga (16),"d2
                      Dust2",LBET Invitational 2
23/12/19,Nemiga (14),MiTH.Maple (16),"mrg
                      Mirage",LBET Invitational 2
23/12/19,MiTH.Maple (8),Nemiga (16),"inf
                      Inferno",LBET Invitational 2
22/12/19,Alma (16),Falkol (14),"mrg
                      Mirage",Brasileirão Season 1 Relegation
22/12/19,Alma (16),Falkol (13),"d2
                      Dust2",Brasileirão Season 1 Relegation
22/12/19,EXTREMUM (8),SG.pro (16),"mrg
                      Mirage",EGB Siberian Frost
22/12/19,EXTREMUM (14),SG.pro (16),"vtg
                      Vertigo",EGB Siberian Frost
22/12/19,Alma (16),FURIA Inagame (5),"trn
                      Train",Brasileirão Season 1 Relegation
22/12/19,FURIA Inagame (11),Alma (16),"inf
                      Inferno",Brasileirão Season 1 Relegation
22/12/19,Movistar Riders (16),BIG (14),"mrg
                      Mirage",WESG 2019 Central Europe & Iberia Closed Qualifier
22/12/19,BIG (10),Movistar Riders (16),"ovp
                      Overpass",WESG 2019 Central Europe & Iberia Closed Qualifier
22/12/19,Spirit (11),G2 (16),"mrg
                      Mirage",Champions Cup Finals
22/12/19,Spirit (13),G2 (16),"trn
                      Train",Champions Cup Finals
22/12/19,Vitality (16),mousesports (9),"nuke
                      Nuke",EPICENTER 2019
22/12/19,Vitality (16),mousesports (12),"mrg
                      Mirage",EPICENTER 2019
22/12/19,mousesports (19),Vitality (16),"inf
                      Inferno",EPICENTER 2019
22/12/19,Titanz (16),iSellPower (4),"cbl
                      Cobblestone",Showmatch CS:GO
22/12/19,AGO (16),Winstrike (12),"nuke
                      Nuke",LOOT.BET Season 5
22/12/19,Winstrike (8),AGO (16),"trn
                      Train",LOOT.BET Season 5
22/12/19,Unique (9),Nemiga (16),"mrg
                      Mirage",LBET Invitational 2
22/12/19,Nemiga (17),Unique (19),"d2
                      Dust2",LBET Invitational 2
22/12/19,Unique (9),Nemiga (16),"nuke
                      Nuke",LBET Invitational 2
22/12/19,Zorka (16),eNgine (9),"d2
                      Dust2",VOKA League 2019
22/12/19,eNgine (11),Zorka (16),"nuke
                      Nuke",VOKA League 2019
22/12/19,mousesports (16),Evil Geniuses (14),"ovp
                      Overpass",EPICENTER 2019
22/12/19,mousesports (16),Evil Geniuses (12),"trn
                      Train",EPICENTER 2019
22/12/19,AGO (16),HAVU (3),"vtg
                      Vertigo",LOOT.BET Season 5
22/12/19,HAVU (8),AGO (16),"trn
                      Train",LOOT.BET Season 5
22/12/19,MiTH.Maple (16),PACT (3),"inf
                      Inferno",LBET Invitational 2
22/12/19,MiTH.Maple (8),PACT (16),"nuke
                      Nuke",LBET Invitational 2
22/12/19,PACT (8),MiTH.Maple (16),"mrg
                      Mirage",LBET Invitational 2
22/12/19,Heroic (12),Vitality (16),"inf
                      Inferno",EPICENTER 2019
22/12/19,Vitality (16),Heroic (12),"vtg
                      Vertigo",EPICENTER 2019
22/12/19,9z (9),Isurus (16),"mrg
                      Mirage",WESG 2019 LATAM South
22/12/19,Isurus (22),9z (19),"ovp
                      Overpass",WESG 2019 LATAM South
22/12/19,Rejected (16),NOORG (10),"nuke
                      Nuke",WESG 2019 LATAM South
22/12/19,NOORG (13),Rejected (16),"inf
                      Inferno",WESG 2019 LATAM South
21/12/19,FURIA Inagame (3),Falkol (16),"ovp
                      Overpass",Brasileirão Season 1 Relegation
21/12/19,Falkol (16),FURIA Inagame (4),"trn
                      Train",Brasileirão Season 1 Relegation
21/12/19,FURIA Inagame (16),Falkol (9),"nuke
                      Nuke",Brasileirão Season 1 Relegation
21/12/19,Alma (16),Santos (13),"mrg
                      Mirage",Brasileirão Season 1 Relegation
21/12/19,Santos (9),Alma (16),"inf
                      Inferno",Brasileirão Season 1 Relegation
21/12/19,9z (16),Rejected (8),"inf
                      Inferno",WESG 2019 LATAM South
21/12/19,9z (7),Rejected (16),"trn
                      Train",WESG 2019 LATAM South
21/12/19,Rejected (13),9z (16),"vtg
                      Vertigo",WESG 2019 LATAM South
21/12/19,FURIA (11),Spirit (16),"nuke
                      Nuke",Champions Cup Finals
21/12/19,FURIA (4),Spirit (16),"mrg
                      Mirage",Champions Cup Finals
21/12/19,Falkol (16),Alma (9),"nuke
                      Nuke",Brasileirão Season 1 Relegation
21/12/19,Isurus (16),NOORG (4),"ovp
                      Overpass",WESG 2019 LATAM South
21/12/19,Isurus (16),NOORG (13),"inf
                      Inferno",WESG 2019 LATAM South
21/12/19,SKADE (14),FATE (16),"trn
                      Train",RES Season 1 Finals
21/12/19,SKADE (8),FATE (16),"d2
                      Dust2",RES Season 1 Finals
21/12/19,FATE (14),SKADE (16),"inf
                      Inferno",RES Season 1 Finals
21/12/19,FURIA Inagame (16),Santos (10),"d2
                      Dust2",Brasileirão Season 1 Relegation
21/12/19,Rejected (16),ex-Intic (10),"inf
                      Inferno",WESG 2019 LATAM South
21/12/19,ex-Intic (19),Rejected (15),"vtg
                      Vertigo",WESG 2019 LATAM South
21/12/19,Evolve (8),NOORG (16),"mrg
                      Mirage",WESG 2019 LATAM South
21/12/19,NOORG (16),Evolve (3),"ovp
                      Overpass",WESG 2019 LATAM South
