date,team1,team1_score,team2,team2_score,map,event,winner,win_margin
9/2/19,CeX,14,London,16,Inferno,epic26,London,2
9/2/19,London,16,CeX,13,Nuke,epic26,London,3
9/2/19,Sharks,12,Isurus,16,Dust2,ESL LA League Season 3 - Brazil,Isurus,4
9/2/19,Isurus,16,Sharks,4,Train,ESL LA League Season 3 - Brazil,Sharks,12
9/2/19,Quad,11,Furious,16,Inferno,ESL LA League Season 3 - Southern Cone,Furious,5
9/2/19,Bring It On,15,Young Blood,15,Inferno,ESL LA League Season 3 - Southern Cone,Young Blood,0
9/2/19,eUnited,12,Swole Patrol,16,Train,IEM Sydney 2019 North America Closed Qualifier,Swole Patrol,4
9/2/19,Swole Patrol,16,eUnited,14,Inferno,IEM Sydney 2019 North America Closed Qualifier,Swole Patrol,2
8/2/19,All Knights,16,Young Blood,4,Nuke,ESL LA League Season 3 - Southern Cone,Young Blood,12
8/2/19,Quad,12,Bring It On,16,Inferno,ESL LA League Season 3 - Southern Cone,Bring It On,4
8/2/19,KoN Norway,16,KoN Sweden,11,Overpass,King of Nordic Season 13,KoN Norway,5
8/2/19,DETONA,22,W7M,25,Inferno,ESL LA League Season 3 - Brazil,W7M,3
8/2/19,DETONA,3,W7M,16,Cache,ESL LA League Season 3 - Brazil,DETONA,13
8/2/19,KoN Sweden,16,KoN Denmark,8,Train,King of Nordic Season 13,KoN Denmark,8
8/2/19,eUnited,16,Ghost,14,Overpass,IEM Sydney 2019 North America Closed Qualifier,eUnited,2
8/2/19,eUnited,19,Ghost,17,Cache,IEM Sydney 2019 North America Closed Qualifier,eUnited,2
8/2/19,Red Reserve,6,x-kom,16,Nuke,LOOT.BET Season 1,Red Reserve,10
8/2/19,x-kom,16,Red Reserve,12,Overpass,LOOT.BET Season 1,x-kom,4
8/2/19,unknown,16,3DMAX,9,Train,LOOT.BET HotShot Series Season 1,3DMAX,7
8/2/19,3DMAX,10,unknown,16,Overpass,LOOT.BET HotShot Series Season 1,unknown,6
8/2/19,KoN Denmark,19,KoN Finland,17,Mirage,King of Nordic Season 13,KoN Denmark,2
8/2/19,LDLC,14,x6tence Galaxy,16,Dust2,United Masters League,x6tence Galaxy,2
8/2/19,LDLC,10,x6tence Galaxy,16,Overpass,United Masters League,x6tence Galaxy,6
8/2/19,Unicorns of Love,16,HoP,5,Cache,NoxFire League Season 2,HoP,11
8/2/19,Chaos,7,Unique,16,Mirage,OGA Counter PIT Season 4,Chaos,9
8/2/19,Chaos,16,Unique,12,Train,OGA Counter PIT Season 4,Chaos,4
8/2/19,Chaos,12,Unique,16,Cache,OGA Counter PIT Season 4,Unique,4
8/2/19,Unicorns of Love,16,pro100,5,Inferno,NoxFire League Season 2,pro100,11
8/2/19,BIG,16,G2,12,Dust2,IEM Sydney 2019 Europe Closed Qualifier,BIG,4
